text,category,predicted_category
free mustread street photography ebooks photography books expensive really expensive ive collected dozens dozens years kind feel though tied lot money books bad thing wonder end result will recoup investment maybe certainly snapped first edition decisive moment luck always gamble always expensive,0,0
mit admits mistake judgment accepting jeffrey epstein donations president school announced investigation accused serial sexual abusers donations ways improve donations process,34,34
bless find warmth good wishes amidst mental clutter hearing wind chimes outside amidst storm rain,37,37
new york fall fashion week fitness activewear front center women spending time gym average times per week growing market fashionable workout apparel,29,30
getting st together audience two podcasts bad money complete make personal tasks public,1,1
norma mccorvey unnamed plaintiff roe v wade dead died heart failure said journalist profiling landmark abortion decision,38,28
ways deal running ex youre divorced childs wedding emotional ex high claire mason outlines nine strategies help enjoy day focusing bride groomtobe rather past events,12,12
ways prepare next semester now enjoy winter break next semester may last thing want think want make best one know now time start preparing,4,4
first nighter james mcavoy rules ruling class feminized treasure island di viv rose friendship peter barnes decided ruling english class nutty created jack gurney wrote ruling class hellzapoppin satire gurney james mcavoy contends hes jesus,0,0
olivia palermo steals show london fashion week photo shop similar look check look day picks wireimage emerging designer seen,30,30
letter yves dad started put head belly sing pray cant hear yet truly terrible hope will eyes hair little height maybe will complexion god help us teeth,22,22
sean hannity says trump needs pardon whole family fox news host didnt specify criminal charges trumps,24,20
geraldo rivera apologizes doubting womens harassment claims roger ailes hes filled regret stubborn said,20,20
mandy moore officially new style crush weve missed candy mandy,29,29
magnitude earthquake shakes southern california fires building collapses injuries reported latest officials believe continuing string dangerous temblors,34,34
overwhelmingly white california womens march canceled representation concerns organizers said work harder attract participants reflect communitys diversity,34,34
diverse conversations transparent many higher education professionals often complain higherups institutions transparent dealings negative impact faculty morale thus devastating effect functioning institution,4,4
make splash photos summer tired choosing standing sidelines stay keep camera dry kids played water missing taking photos captured best summer memories altogether set see safely document familys summer,22,22
years father ended life twelve years father ended life making every possible mistake found way back happiness love forgiveness father loved unable connect grief,16,14
kindergarten teacher explains social media stalking class useful adulthood calculus,5,5
tata mundra world bank groups guide breaking rules policy enforcing policy two totally different separate things law without enforcement law,15,15
words keeping finding love many hours spent looking men online thinking following thought man looks nice hes type,12,12
ballet children enough joy whole family alice elena zahlmann burst dollhouse kids audience encouraged work series,7,0
fly moon yes know current push federal space agency social media journeytomars ready really ready nope dont think even close,27,27
